Titulo do imóvel,Tipo,Preço,Valor Condominio,Quartos,Suítes,Área Total,Bairro,Link para o anúncio,Origem
Sala Nova Comercial SALA 02 - Avenida Maripá,Sala Comercial,R$ 3.000.00,R$ None,,,81 m²,Vila Operaria/Boa Esperanca - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Vila-OperariaBoa-Esperanca/12378,Imobiliaria Ativa
SALA COMERCIAL NOVA NO CENTRO DE TOLEDO- Almirante Barroso,Sala Comercial,R$ 4.800.00,R$ None,,,220 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/12413,Imobiliaria Ativa
SALAS COMERCIAIS DISPONÍVEIS PARA LOCAÇÃO Visibilidade e localização estratégica para o seu negócio! LOCALIZADA na Av. Min. Cirne Lima. próximo ao SAMU - 23 vagas de estacionamento exclusivas para clientes - Alto fluxo de veículos e pedestres,Sala Comercial,R$ 18.650.00,R$ None,,,372.94 m²,Jardim Tocantins - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Tocantins/12436,Imobiliaria Ativa
Casa - Condomínio,Casa,R$ 1.300.00,R$ None,2,,623 m²,Jardim Coopagro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Condominio/Jardim-Coopagro/2622,Imobiliaria Ativa
Terreno - Lote Urbano,None,R$ 7.500.00,R$ None,,,5352.26 m²,Jardim Gisela - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Terreno/Lote-Urbano/Jardim-Gisela/9158,Imobiliaria Ativa
Terreno - Lote Urbano,None,R$ 7.500.00,R$ None,,,5352.26 m²,Jardim Gisela - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Terreno/Lote-Urbano/Jardim-Gisela/9159,Imobiliaria Ativa
Sala Comercial Nova com excelente localização na Vila Pioneira,Sala Comercial,R$ 4.500.00,R$ None,,,220 m²,Vila Pioneiro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Vila-Pioneiro/12282,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 18.000.00,R$ None,,,700 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/12426,Imobiliaria Ativa
Terreno - Lote Urbano,None,R$ 850.00,R$ None,,,516.74 m²,Jardim La Salle - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Terreno/Lote-Urbano/Jardim-La-Salle/2908,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 900.00,R$ 180.00,2,,42.76 m²,Jardim Tocantins - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Tocantins/3646,Imobiliaria Ativa
Comercial/Sala Comercial - Comercial - No bairro Centro,Sala Comercial,R$ 8.000.00,R$ None,,,239.37 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/11930,Imobiliaria Ativa
Sala Comercial na Avenida Barão do Rio Branco,Sala Comercial,R$ 2.500.00,R$ None,,,90 m²,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Vila-Industrial/12524,Imobiliaria Ativa
Clínica para Locação - Ideal para Consultórios Médicos e da Saúde,None,R$ 7.500.00,R$ None,,,80 m²,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Vila-Industrial/12845,Imobiliaria Ativa
Área para locação com localização privilegiada,None,R$ 5.000.00,R$ None,,,3334.65 m²,Jardim Pancera - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Terreno/Lote-Urbano/Jardim-Pancera/11291,Imobiliaria Ativa
Sala Comercial anexo ao Primato do jardim Panorama,Sala Comercial,R$ 3.300.00,R$ None,,,60 m²,Jardim Panorama - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Panorama/12521,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 2.450.00,R$ None,,,34 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial-em-Condominio/Centro/10849,Imobiliaria Ativa
Comercial - Imóvel Comercial,Sala Comercial,R$ 5.750.00,R$ None,2,1,,Jardim La Salle - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Imovel-Comercial/Jardim-La-Salle/11046,Imobiliaria Ativa
Terreno - Lote Urbano,None,R$ 7.500.00,R$ None,,,5352.26 m²,Jardim Gisela - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Terreno/Lote-Urbano/Jardim-Gisela/9157,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 5.000.00,R$ None,,,200 m²,Vila Pioneiro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Vila-Pioneiro/12465,Imobiliaria Ativa
SALAS COMERCIAIS DISPONÍVEIS PARA LOCAÇÃO Visibilidade e localização estratégica para o seu negócio! LOCALIZADA na Av. Min. Cirne Lima. próximo ao SAMU - 23 vagas de estacionamento exclusivas para clientes - Alto fluxo de veículos e pedestres,Sala Comercial,R$ 22.530.00,R$ None,,,450.45 m²,Jardim Tocantins - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Tocantins/12438,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 3.400.00,R$ 680.00,3,1,,Jardim La Salle - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-La-Salle/6337,Imobiliaria Ativa
SALA COMERCIAL NOVA NO CENTRO DE TOLEDO - RUI BARBOSA,Sala Comercial,R$ 4.950.00,R$ None,,,110 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/12412,Imobiliaria Ativa
Barracão Avenida Maripa com sobra de terreno,Barracão,R$ 6.500.00,R$ None,,,200 m²,Vila Brasil - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Barracao/Vila-Brasil/13186,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 2.600.00,R$ None,,,63.52 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial-em-Condominio/Centro/4515,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 3.500.00,R$ 450.00,2,1,,Jardim La Salle - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-La-Salle/376,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 1.500.00,R$ None,,,52 m²,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial-em-Condominio/Vila-Industrial/1285,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 2.300.00,R$ 300.00,2,1,,Jardim Pancera - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Pancera/6963,Imobiliaria Ativa
